Station code,Location,State or province,Opened
HIN,Hinton,WV,—
HLD,Holdrege,NE,1911
HOM,Holland,MI,1926
HOL,Hollywood,FL,1928
HLK,Holyoke,MA,2015
HMW,Homewood,IL,1923
HOP,Hope,AR,2013
HOS,Houston,TX,1959
HUD,Hudson,NY,1874
HGD,Huntingdon,PA,1872
HUN,Huntington,WV,1873
HUT,Hutchinson,KS,1897
IDP,Independence,MO,1913
IND,Indianapolis,IN,1853
IRV,Irvine,CA,1990
JXN,Jackson,MI,1841
JAN,Jackson,MS,1927
JAX,Jacksonville,FL,1974
JEF,Jefferson City,MO,1855
JSP,Jesup,GA,—
JST,Johnstown,PA,1916
JOL,Joliet,IL,"2014, 2018"
KAL,Kalamazoo,MI,1886
KKI,Kankakee,IL,1898
KAN,Kannapolis,NC,2004
KCY,Kansas City,MO,1914
KEL,Kelso,WA,1912
KEE,Kewanee,IL,1986
KNG,Kingman,AZ,1907
KIN,Kingston,RI,1875
KTR,Kingstree,SC,1909
KWD,Kirkwood,MO,1893
KIS,Kissimmee,FL,1975
KFS,Klamath Falls,OR,1916
LSE,La Crosse,WI,1926
LAG,La Grange,IL,1916
LAJ,La Junta,CO,1955
LAP,La Plata,MO,1945
LAF,Lafayette,IN,1902
LFT,Lafayette,LA,1911-1912
LCH,Lake Charles,LA,1992
LAK/LKL,Lakeland,FL,1998
LMR,Lamar,CO,1907
LMY,Lamy,NM,1909
LNC,Lancaster,PA,1929
LPE,Lapeer,MI,1900
LSV,Las Vegas,NM,1899
LAB,Latrobe,PA,1850s
LAU,Laurel,MS,1913
LRC,Lawrence,KS,1956
LWA,Leavenworth,WA,2009
LEE,Lee's Summit,MO,2009
LEW,Lewistown,PA,1849
LEX,Lexington,NC,—
LIB,Libby,MT,—
LCN,Lincoln,IL,1911
LNK,Lincoln,NE,2012
LRK,Little Rock,AR,1921
LOD,Lodi,CA,2002
LPS,Surf,CA,2000
LVW,Longview,TX,1940
LDB,Lordsburg,NM,—
LOR,Lorton,VA,1971
LAX,Los Angeles,CA,1939
LYH,Lynchburg,VA,1912
MAC,Macomb,IL,1913
MDR,Madera,CA,2010
MAL,Malta,MT,—
MVN,Malvern,AR,1916
MSS,Manassas,VA,1914
MRC,Maricopa,AZ,1996
MKS,Marks,MS,2018
MHL,Marshall,TX,1974
MTZ,Martinez,CA,1877
