State,Station,Fiscal Year,Note,Value
Alabama,"Tuscaloosa, Alabama",2005,,4904
Alabama,"Mobile, Alabama",2005,,570
Alabama,"Birmingham, Alabama",2005,,16558
Alabama,"Atmore, Alabama",2005,,115
Alabama,"Anniston, Alabama",2005,,2419
Alabama,"Tuscaloosa, Alabama",2010,,12533
Alabama,"Birmingham, Alabama",2010,,45089
Alabama,"Anniston, Alabama",2010,,5955
Alabama,"Tuscaloosa, Alabama",2011,,12032
Alabama,"Birmingham, Alabama",2011,,48196
Alabama,"Anniston, Alabama",2011,,6694
Alabama,"Tuscaloosa, Alabama",2012,,12290
Alabama,"Birmingham, Alabama",2012,,48734
Alabama,"Anniston, Alabama",2012,,6209
Alabama,"Tuscaloosa, Alabama",2013,,11598
Alabama,"Birmingham, Alabama",2013,,48759
Alabama,"Anniston, Alabama",2013,,5835
Alabama,"Tuscaloosa, Alabama",2014,,11360
Alabama,"Birmingham, Alabama",2014,,46610
Alabama,"Anniston, Alabama",2014,,5200
Alabama,"Tuscaloosa, Alabama",2015,,10922
Alabama,"Birmingham, Alabama",2015,,44985
Alabama,"Anniston, Alabama",2015,,5085
Alabama,"Tuscaloosa, Alabama",2016,,10594
Alabama,"Birmingham, Alabama",2016,,42930
Alabama,"Anniston, Alabama",2016,,4871
Alabama,"Tuscaloosa, Alabama",2017,,10571
Alabama,"Birmingham, Alabama",2017,,42512
Alabama,"Anniston, Alabama",2017,,4255
Alabama,"Tuscaloosa, Alabama",2018,,10228
Alabama,"Birmingham, Alabama",2018,,40585
Alabama,"Anniston, Alabama",2018,,3833
Alabama,"Tuscaloosa, Alabama",2019,,9323
Alabama,"Birmingham, Alabama",2019,,37605
Alabama,"Anniston, Alabama",2019,,4244
Alabama,"Tuscaloosa, Alabama",2020,,4871
Alabama,"Birmingham, Alabama",2020,,17474
Alabama,"Anniston, Alabama",2020,,2369
Alabama,"Tuscaloosa, Alabama",2021,,3720
Alabama,"Birmingham, Alabama",2021,,14935
Alabama,"Anniston, Alabama",2021,,1948
Alabama,"Tuscaloosa, Alabama",2022,,5389
Alabama,"Birmingham, Alabama",2022,,21211
Alabama,"Anniston, Alabama",2022,,2486
Arizona,"Williams Junction, Arizona",2018,Service discontinued as of 1/1/18,2032
Arizona,"Yuma, Arizona",2005,,877
Arizona,"Winslow, Arizona",2005,,1378
Arizona,"Williams Junction, Arizona",2005,,2889
Arizona,"Tucson, Arizona",2005,,6880
Arizona,"Maricopa, Arizona",2005,,3023
Arizona,"Kingman, Arizona",2005,,3142
Arizona,"Flagstaff, Arizona",2005,,17370
Arizona,"Benson, Arizona",2005,,537
Arizona,"Yuma, Arizona",2010,,3676
Arizona,"Winslow, Arizona",2010,,5274
Arizona,"Williams Junction, Arizona",2010,,7642
Arizona,"Tucson, Arizona",2010,,21095
Arizona,"Maricopa, Arizona",2010,,8764
Arizona,"Kingman, Arizona",2010,,10160
Arizona,"Flagstaff, Arizona",2010,,41775
Arizona,"Benson, Arizona",2010,,1091
Arizona,"Yuma, Arizona",2011,,3386
Arizona,"Winslow, Arizona",2011,,5399
Arizona,"Williams Junction, Arizona",2011,,7646
Arizona,"Tucson, Arizona",2011,,23340
Arizona,"Maricopa, Arizona",2011,,9819
Arizona,"Kingman, Arizona",2011,,10944
Arizona,"Flagstaff, Arizona",2011,,41252
Arizona,"Benson, Arizona",2011,,1208
Arizona,"Yuma, Arizona",2012,,4011
Arizona,"Winslow, Arizona",2012,,5034
Arizona,"Williams Junction, Arizona",2012,,7487
Arizona,"Tucson, Arizona",2012,,23896
Arizona,"Maricopa, Arizona",2012,,10804
Arizona,"Kingman, Arizona",2012,,10768
Arizona,"Flagstaff, Arizona",2012,,41014
Arizona,"Benson, Arizona",2012,,1367
Arizona,"Yuma, Arizona",2013,,3891
Arizona,"Winslow, Arizona",2013,,4625
Arizona,"Williams Junction, Arizona",2013,,6944
Arizona,"Tucson, Arizona",2013,,25921
Arizona,"Maricopa, Arizona",2013,,12945
Arizona,"Kingman, Arizona",2013,,10523
Arizona,"Flagstaff, Arizona",2013,,40390
Arizona,"Benson, Arizona",2013,,1833
Arizona,"Yuma, Arizona",2014,,3772
Arizona,"Winslow, Arizona",2014,,4428
Arizona,"Williams Junction, Arizona",2014,,6025
Arizona,"Tucson, Arizona",2014,,27917
Arizona,"Maricopa, Arizona",2014,,12729
Arizona,"Kingman, Arizona",2014,,9765
Arizona,"Flagstaff, Arizona",2014,,39183
Arizona,"Benson, Arizona",2014,,1961
Arizona,"Yuma, Arizona",2015,,4296
Arizona,"Winslow, Arizona",2015,,5074
Arizona,"Williams Junction, Arizona",2015,,6738
Arizona,"Tucson, Arizona",2015,,28682
Arizona,"Maricopa, Arizona",2015,,12162
Arizona,"Kingman, Arizona",2015,,10794
Arizona,"Flagstaff, Arizona",2015,,40800
Arizona,"Benson, Arizona",2015,,2073
Arizona,"Yuma, Arizona",2016,,4576
Arizona,"Winslow, Arizona",2016,,4481
Arizona,"Williams Junction, Arizona",2016,,8051
Arizona,"Tucson, Arizona",2016,,27301
Arizona,"Maricopa, Arizona",2016,,11250
Arizona,"Kingman, Arizona",2016,,9904
Arizona,"Flagstaff, Arizona",2016,,41053
Arizona,"Benson, Arizona",2016,,2013
Arizona,"Yuma, Arizona",2017,,4605
Arizona,"Winslow, Arizona",2017,,4187
Arizona,"Williams Junction, Arizona",2017,,9672
Arizona,"Tucson, Arizona",2017,,29146
Arizona,"Maricopa, Arizona",2017,,11849
Arizona,"Kingman, Arizona",2017,,9944
Arizona,"Flagstaff, Arizona",2017,,39803
Arizona,"Benson, Arizona",2017,,2036
Arizona,"Yuma, Arizona",2018,,4525
Arizona,"Winslow, Arizona",2018,,4345
Arizona,"Tucson, Arizona",2018,,28183
Arizona,"Maricopa, Arizona",2018,,11744
Arizona,"Kingman, Arizona",2018,,9065
Arizona,"Flagstaff, Arizona",2018,,43421
Arizona,"Benson, Arizona",2018,,1939
Arizona,"Yuma, Arizona",2019,,4285
Arizona,"Winslow, Arizona",2019,,4371
Arizona,"Tucson, Arizona",2019,,25695
Arizona,"Maricopa, Arizona",2019,,11194
Arizona,"Kingman, Arizona",2019,,8691
Arizona,"Flagstaff, Arizona",2019,,43453
Arizona,"Benson, Arizona",2019,,1947
Arizona,"Yuma, Arizona",2020,,3366
Arizona,"Winslow, Arizona",2020,,2437
Arizona,"Tucson, Arizona",2020,,15715
Arizona,"Maricopa, Arizona",2020,,7843
Arizona,"Kingman, Arizona",2020,,5536
Arizona,"Flagstaff, Arizona",2020,,20981
Arizona,"Benson, Arizona",2020,,1218
Arizona,"Winslow, Arizona",2021,,1773
Arizona,"Tucson, Arizona",2021,,14567
Arizona,"Maricopa, Arizona",2021,,8251
Arizona,"Kingman, Arizona",2021,,4567
Arizona,"Flagstaff, Arizona",2021,,16693
Arizona,"Benson, Arizona",2021,,1224
Arizona,"Yuma, Arizona",2022,,4403
Arizona,"Winslow, Arizona",2022,,2652
Arizona,"Tucson, Arizona",2022,,19115
Arizona,"Maricopa, Arizona",2022,,10520
Arizona,"Kingman, Arizona",2022,,6919
Arizona,"Flagstaff, Arizona",2022,,25499
Arizona,"Benson, Arizona",2022,,1743
Arkansas,"Walnut Ridge, Arkansas",2005,,1343
Arkansas,"Texarkana, Arkansas",2005,,2983
Arkansas,"Malvern, Arkansas",2005,,779
Arkansas,"Little Rock, Arkansas",2005,,7290
Arkansas,"Arkadelphia, Arkansas",2005,,481
Arkansas,"Walnut Ridge, Arkansas",2010,,4565
Arkansas,"Texarkana, Arkansas",2010,,7867
Arkansas,"Malvern, Arkansas",2010,,1833
Arkansas,"Little Rock, Arkansas",2010,,22218
Arkansas,"Arkadelphia, Arkansas",2010,,1486
Arkansas,"Walnut Ridge, Arkansas",2011,,4311
Arkansas,"Texarkana, Arkansas",2011,,8646
Arkansas,"Malvern, Arkansas",2011,,1750
Arkansas,"Little Rock, Arkansas",2011,,23336
Arkansas,"Arkadelphia, Arkansas",2011,,1574
Arkansas,"Walnut Ridge, Arkansas",2012,,4766
Arkansas,"Texarkana, Arkansas",2012,,8849
Arkansas,"Malvern, Arkansas",2012,,2105
Arkansas,"Little Rock, Arkansas",2012,,24036
Arkansas,"Arkadelphia, Arkansas",2012,,1602
Arkansas,"Walnut Ridge, Arkansas",2013,,4731
Arkansas,"Texarkana, Arkansas",2013,,8903
Arkansas,"Malvern, Arkansas",2013,,2101
Arkansas,"Little Rock, Arkansas",2013,,22351
Arkansas,"Hope, Arkansas",2013,,1310
Arkansas,"Arkadelphia, Arkansas",2013,,1787
Arkansas,"Walnut Ridge, Arkansas",2014,,4046
Arkansas,"Texarkana, Arkansas",2014,,7853
Arkansas,"Malvern, Arkansas",2014,,1896
Arkansas,"Little Rock, Arkansas",2014,,19652
Arkansas,"Hope, Arkansas",2014,,1911
Arkansas,"Arkadelphia, Arkansas",2014,,1527
Arkansas,"Walnut Ridge, Arkansas",2015,,3738
Arkansas,"Texarkana, Arkansas",2015,,6894
Arkansas,"Malvern, Arkansas",2015,,1760
Arkansas,"Little Rock, Arkansas",2015,,19676
Arkansas,"Hope, Arkansas",2015,,1612
Arkansas,"Arkadelphia, Arkansas",2015,,1308
Arkansas,"Walnut Ridge, Arkansas",2016,,3345
Arkansas,"Texarkana, Arkansas",2016,,6207
Arkansas,"Malvern, Arkansas",2016,,1729
Arkansas,"Little Rock, Arkansas",2016,,18333
Arkansas,"Hope, Arkansas",2016,,1608
Arkansas,"Arkadelphia, Arkansas",2016,,1177
Arkansas,"Walnut Ridge, Arkansas",2017,,3486
Arkansas,"Texarkana, Arkansas",2017,,6231
Arkansas,"Malvern, Arkansas",2017,,1688
Arkansas,"Little Rock, Arkansas",2017,,20574
Arkansas,"Hope, Arkansas",2017,,1691
Arkansas,"Arkadelphia, Arkansas",2017,,1390
Arkansas,"Walnut Ridge, Arkansas",2018,,3421
Arkansas,"Texarkana, Arkansas",2018,,6133
Arkansas,"Malvern, Arkansas",2018,,1693
Arkansas,"Little Rock, Arkansas",2018,,19406
Arkansas,"Hope, Arkansas",2018,,1650
Arkansas,"Arkadelphia, Arkansas",2018,,1433
Arkansas,"Walnut Ridge, Arkansas",2019,,2878
Arkansas,"Texarkana, Arkansas",2019,,5214
Arkansas,"Malvern, Arkansas",2019,,1598
Arkansas,"Little Rock, Arkansas",2019,,17755
Arkansas,"Hope, Arkansas",2019,,1579
Arkansas,"Arkadelphia, Arkansas",2019,,1389
Arkansas,"Walnut Ridge, Arkansas",2020,,1975
Arkansas,"Texarkana, Arkansas",2020,,3420
Arkansas,"Malvern, Arkansas",2020,,1038
Arkansas,"Little Rock, Arkansas",2020,,10538
Arkansas,"Hope, Arkansas",2020,,1013
Arkansas,"Arkadelphia, Arkansas",2020,,811
Arkansas,"Walnut Ridge, Arkansas",2021,,1565
Arkansas,"Texarkana, Arkansas",2021,,3135
Arkansas,"Malvern, Arkansas",2021,,878
Arkansas,"Little Rock, Arkansas",2021,,8439
Arkansas,"Hope, Arkansas",2021,,779
Arkansas,"Arkadelphia, Arkansas",2021,,587
Arkansas,"Walnut Ridge, Arkansas",2022,,2340
Arkansas,"Texarkana, Arkansas",2022,,4814
Arkansas,"Malvern, Arkansas",2022,,1558
Arkansas,"Little Rock, Arkansas",2022,,13492
Arkansas,"Hope, Arkansas",2022,,1322
Arkansas,"Arkadelphia, Arkansas",2022,,956
California,"Encinitas, California",2018,"Service ended on 10/9/17, during Fiscal 2018",122
California,"Carlsbad Poinsettia, California",2018,"Service ended on 10/9/17, during Fiscal 2018",120
California,"Sorrento Valley, California",2019,Service ended 10/8/18 within FY19.,463
California,"Carlsbad Village, California",2019,Service ended 10/8/18 within FY19.,160
California,"Fairfield-Vacaville, California",2018,"Service added on 11/13/17, during Fiscal 2018",53375
California,"Stockton (San Joaquin St.), California",2018,San Joaquin St.,289116
California,"Moreno Valley, California",2015,"Riverside, California",12837
California,"Moreno Valley, California",2016,"Riverside, California",12287
California,"Moreno Valley, California",2017,"Riverside, California",12029
California,"Stockton (Downtown), California",2018,Downtown,24602
California,"Wasco, California",2005,,5340
California,"Victorville, California",2005,,1848
California,"Ventura, California",2005,,16024
California,"Van Nuys, California",2005,,30402
California,"Turlock-Denair, California",2005,,6579
California,"Truckee, California",2005,,2949
California,"Suisun-Fairfield, California",2005,,56060
California,"Stockton (San Joaquin St.), California",2005,,83236
California,"Stockton (Downtown), California",2005,,6740
California,"Solana Beach, California",2005,,206230
California,"Simi Valley, California",2005,,14599
California,"Santa Barbara, California",2005,,111339
California,"Santa Ana, California",2005,,85073
California,"San Luis Obispo, California",2005,,37498
California,"San Juan Capistrano, California",2005,,126214
California,"San Jose, California",2005,,77307
California,"San Diego, California",2005,,432248
California,"San Diego-Old Town, California",2005,,7852
California,"San Clemente Pier, California",2005,,2534
California,"San Bernardino, California",2005,,4688
California,"Salinas, California",2005,,6388
California,"Sacramento, California",2005,,472450
California,"Roseville, California",2005,,29334
California,"Rocklin, California",2005,,15635
California,"Riverside, California",2005,,3100
California,"Richmond, California",2005,,106821
California,"Redding, California",2005,,3153
California,"Pomona, California",2005,,351
California,"Paso Robles, California",2005,,2643
California,"Palm Springs, California",2005,,810
California,"Oxnard, California",2005,,34912
California,"Ontario, California",2005,,1416
California,"Oceanside, California",2005,,155251
California,"Oakland, California",2005,,143147
California,"Oakland Coliseum, California",2005,,809
California,"Needles, California",2005,,4581
California,"Moorpark, California",2005,,4595
California,"Modesto, California",2005,,35883
California,"Merced, California",2005,,37641
California,"Martinez, California",2005,,150222
California,"Madera, California",2005,,5565
California,"Los Angeles, California",2005,,690068
California,"Lompoc-Surf, California",2005,,2219
California,"Lodi, California",2005,,2851
California,"Irvine, California",2005,,281576
California,"Hayward, California",2005,,11416
California,"Hanford, California",2005,,69588
California,"Guadalupe-Santa Maria, California",2005,,3425
California,"Grover Beach, California",2005,,6489
California,"Great America (Santa Clara), California",2005,,37275
California,"Goleta, California",2005,,25640
California,"Glendale, California",2005,,17342
California,"Fullerton, California",2005,,201862
California,"Fresno, California",2005,,128284
California,"Fremont, California",2005,,13772
California,"Emeryville, California",2005,,254039
California,"Dunsmuir, California",2005,,1989
California,"Davis, California",2005,,171637
California,"Corcoran, California",2005,,11745
California,"Colfax, California",2005,,1622
California,"Chico, California",2005,,2862
California,"Chatsworth, California",2005,,19828
California,"Carpinteria, California",2005,,7048
California,"Camarillo, California",2005,,9696
California,"Burbank, California",2005,,14050
California,"Berkeley, California",2005,,35444
California,"Barstow, California",2005,,1380
California,"Bakersfield, California",2005,,185089
California,"Auburn, California",2005,,16707
California,"Antioch-Pittsburg, California",2005,,9455
California,"Anaheim, California",2005,,157609
California,"Wasco, California",2010,,18044
California,"Victorville, California",2010,,5558
California,"Ventura, California",2010,,45385
California,"Van Nuys, California",2010,,70551
California,"Turlock-Denair, California",2010,,21668
California,"Truckee, California",2010,,9139
California,"Suisun-Fairfield, California",2010,,171381
California,"Stockton (San Joaquin St.), California",2010,,238868
California,"Stockton (Downtown), California",2010,,34188
California,"Solana Beach, California",2010,,408060
California,"Simi Valley, California",2010,,38946
California,"Santa Barbara, California",2010,,295079
California,"Santa Ana, California",2010,,152733
California,"San Luis Obispo, California",2010,,99778
California,"San Juan Capistrano, California",2010,,223580
California,"San Jose, California",2010,,202512
California,"San Diego, California",2010,,715043
California,"San Diego-Old Town, California",2010,,21616
California,"San Clemente Pier, California",2010,,9990
California,"San Bernardino, California",2010,,10080
California,"Salinas, California",2010,,18935
California,"Sacramento, California",2010,,1107220
California,"Roseville, California",2010,,67796
California,"Rocklin, California",2010,,34263
California,"Richmond, California",2010,,271486
California,"Redding, California",2010,,10322
California,"Pomona, California",2010,,1523
California,"Paso Robles, California",2010,,10372
California,"Palm Springs, California",2010,,6061
California,"Oxnard, California",2010,,74468
California,"Ontario, California",2010,,4756
California,"Oceanside, California",2010,,293012
California,"Oakland, California",2010,,355128
California,"Oakland Coliseum, California",2010,,20785
California,"Needles, California",2010,,9481
California,"Moreno Valley, California",2010,,10806
California,"Moorpark, California",2010,,12293
California,"Modesto, California",2010,,96662
California,"Metrolink Station Orange, California 92866",2010,,2439
California,"Merced, California",2010,,103505
California,"Martinez, California",2010,,410968
California,"Madera, California",2010,,20031
California,"Los Angeles, California",2010,,1517342
California,"Lompoc-Surf, California",2010,,6422
California,"Lodi, California",2010,,7443
California,"Laguna Niguel, California",2010,,2644
California,"Irvine, California",2010,,630190
California,"Hayward, California",2010,,29984
California,"Hanford, California",2010,,187865
California,"Guadalupe-Santa Maria, California",2010,,10018
California,"Grover Beach, California",2010,,17944
California,"Great America (Santa Clara), California",2010,,104041
California,"Goleta, California",2010,,59911
California,"Glendale, California",2010,,37117
California,"Fullerton, California",2010,,411489
California,"Fresno, California",2010,,352737
California,"Fremont, California",2010,,39162
California,"Emeryville, California",2010,,529965
California,"Dunsmuir, California",2010,,4879
California,"Davis, California",2010,,409611
California,"Corcoran, California",2010,,27375
California,"Colfax, California",2010,,4322
California,"Chico, California",2010,,10067
California,"Chatsworth, California",2010,,49178
California,"Carpinteria, California",2010,,20149
California,"Camarillo, California",2010,,33165
California,"Burbank, California",2010,,41997
California,"Berkeley, California",2010,,133152
California,"Barstow, California",2010,,3609
California,"Bakersfield, California",2010,,413172
California,"Auburn, California",2010,,31092
California,"Antioch-Pittsburg, California",2010,,34417
California,"Anaheim, California",2010,,331666
California,"Wasco, California",2011,,18209
California,"Victorville, California",2011,,6488
California,"Ventura, California",2011,,47457
California,"Van Nuys, California",2011,,74163
California,"Turlock-Denair, California",2011,,23454
California,"Truckee, California",2011,,8399
California,"Suisun-Fairfield, California",2011,,192471
California,"Stockton (San Joaquin St.), California",2011,,260115
California,"Stockton (Downtown), California",2011,,38401
California,"Solana Beach, California",2011,,443386
California,"Simi Valley, California",2011,,41136
California,"Santa Barbara, California",2011,,317617
California,"Santa Ana, California",2011,,170036
California,"San Luis Obispo, California",2011,,101659
California,"San Juan Capistrano, California",2011,,230481
California,"San Jose, California",2011,,224756
California,"San Diego, California",2011,,753739
California,"San Diego-Old Town, California",2011,,22867
California,"San Clemente Pier, California",2011,,9223
California,"San Bernardino, California",2011,,10552
California,"Salinas, California",2011,,18164
California,"Sacramento, California",2011,,1175046
California,"Roseville, California",2011,,67831
California,"Rocklin, California",2011,,36329
California,"Richmond, California",2011,,276114
California,"Redding, California",2011,,11440
California,"Pomona, California",2011,,1517
California,"Paso Robles, California",2011,,10122
California,"Palm Springs, California",2011,,5897
California,"Oxnard, California",2011,,78085
California,"Ontario, California",2011,,5422
California,"Oceanside, California",2011,,311834
California,"Oakland, California",2011,,379851
California,"Oakland Coliseum, California",2011,,22113
California,"Needles, California",2011,,8840
California,"Moreno Valley, California",2011,,11679
California,"Moorpark, California",2011,,13191
California,"Modesto, California",2011,,104647
California,"Metrolink Station Orange, California 92866",2011,,3025
California,"Merced, California",2011,,114401
California,"Martinez, California",2011,,446507
California,"Madera, California",2011,,21739
California,"Los Angeles, California",2011,,1606121
California,"Lompoc-Surf, California",2011,,5950
California,"Lodi, California",2011,,7422
California,"Laguna Niguel, California",2011,,2938
California,"Irvine, California",2011,,664263
California,"Hayward, California",2011,,30603
California,"Hanford, California",2011,,199291
California,"Guadalupe-Santa Maria, California",2011,,10649
California,"Grover Beach, California",2011,,17326
California,"Great America (Santa Clara), California",2011,,115989
California,"Goleta, California",2011,,62310
California,"Glendale, California",2011,,39913
California,"Fullerton, California",2011,,436383
California,"Fresno, California",2011,,371875
California,"Fremont, California",2011,,43515
California,"Emeryville, California",2011,,583865
California,"Dunsmuir, California",2011,,5370
California,"Davis, California",2011,,443168
California,"Corcoran, California",2011,,27424
California,"Colfax, California",2011,,4036
California,"Chico, California",2011,,9843
California,"Chatsworth, California",2011,,52401
California,"Carpinteria, California",2011,,20064
California,"Camarillo, California",2011,,36686
California,"Burbank, California",2011,,47928
California,"Berkeley, California",2011,,142510
California,"Barstow, California",2011,,3870
California,"Bakersfield, California",2011,,476767
California,"Auburn, California",2011,,29438
California,"Antioch-Pittsburg, California",2011,,34794
California,"Anaheim, California",2011,,352363
California,"Wasco, California",2012,,21117
California,"Victorville, California",2012,,6764
California,"Ventura, California",2012,,47482
California,"Van Nuys, California",2012,,73665
California,"Turlock-Denair, California",2012,,25308
California,"Truckee, California",2012,,9450
California,"Suisun-Fairfield, California",2012,,200402
California,"Stockton (San Joaquin St.), California",2012,,277926
California,"Stockton (Downtown), California",2012,,40056
California,"Solana Beach, California",2012,,421614
California,"Simi Valley, California",2012,,40697
California,"Santa Clara (University), California",2012,,1633
California,"Santa Barbara, California",2012,,304382
California,"Santa Ana, California",2012,,201842
California,"San Luis Obispo, California",2012,,108439
California,"San Juan Capistrano, California",2012,,244992
California,"San Jose, California",2012,,234767
California,"San Diego, California",2012,,708934
California,"San Diego-Old Town, California",2012,,61188
California,"San Clemente Pier, California",2012,,9912
California,"San Bernardino, California",2012,,11554
California,"Salinas, California",2012,,19879
California,"Sacramento, California",2012,,1186958
California,"Roseville, California",2012,,62233
California,"Rocklin, California",2012,,32993
California,"Richmond, California",2012,,281999
California,"Redding, California",2012,,12059
California,"Pomona, California",2012,,1614
California,"Paso Robles, California",2012,,11728
California,"Palm Springs, California",2012,,4945
California,"Oxnard, California",2012,,81231
California,"Ontario, California",2012,,5185
California,"Oceanside, California",2012,,344562
California,"Oakland, California",2012,,416800
California,"Oakland Coliseum, California",2012,,26272
California,"Needles, California",2012,,9118
California,"Moreno Valley, California",2012,,12197
California,"Moorpark, California",2012,,14431
California,"Modesto, California",2012,,118226
California,"Metrolink Station Orange, California 92866",2012,,2302
California,"Merced, California",2012,,125316
California,"Martinez, California",2012,,475909
California,"Madera, California",2012,,24770
California,"Los Angeles, California",2012,,1657446
California,"Lompoc-Surf, California",2012,,7096
California,"Lodi, California",2012,,8439
California,"Laguna Niguel, California",2012,,2125
California,"Irvine, California",2012,,421619
California,"Hayward, California",2012,,35342
California,"Hanford, California",2012,,210682
California,"Guadalupe-Santa Maria, California",2012,,11250
California,"Grover Beach, California",2012,,18005
California,"Great America (Santa Clara), California",2012,,121246
California,"Goleta, California",2012,,57033
California,"Glendale, California",2012,,40070
California,"Fullerton, California",2012,,310694
California,"Fresno, California",2012,,394074
California,"Fremont, California",2012,,43737
California,"Emeryville, California",2012,,586876
California,"Dunsmuir, California",2012,,5385
California,"Davis, California",2012,,445416
California,"Corcoran, California",2012,,29072
California,"Colfax, California",2012,,4377
California,"Chico, California",2012,,11009
California,"Chatsworth, California",2012,,52543
California,"Carpinteria, California",2012,,20587
California,"Camarillo, California",2012,,37393
California,"Burbank, California",2012,,47217
California,"Berkeley, California",2012,,152096
California,"Barstow, California",2012,,3433
California,"Bakersfield, California",2012,,507058
California,"Auburn, California",2012,,28396
California,"Antioch-Pittsburg, California",2012,,39001
California,"Anaheim, California",2012,,358810
California,"Wasco, California",2013,,49245
California,"Victorville, California",2013,,7290
California,"Ventura, California",2013,,55434
California,"Van Nuys, California",2013,,75762
California,"Turlock-Denair, California",2013,,28221
California,"Truckee, California",2013,,9855
California,"Suisun-Fairfield, California",2013,,196038
California,"Stockton (San Joaquin St.), California",2013,,295344
California,"Stockton (Downtown), California",2013,,43230
California,"Sorrento Valley, California",2013,,0
California,"Solana Beach, California",2013,,428841
California,"Simi Valley, California",2013,,40126
California,"Santa Clara (University), California",2013,,8635
California,"Santa Barbara, California",2013,,322410
California,"Santa Ana, California",2013,,202919
California,"San Luis Obispo, California",2013,,115028
California,"San Juan Capistrano, California",2013,,242722
California,"San Jose, California",2013,,258776
California,"San Diego, California",2013,,686953
California,"San Diego-Old Town, California",2013,,135749
California,"San Clemente Pier, California",2013,,15017
California,"San Bernardino, California",2013,,11349
California,"Salinas, California",2013,,21942
California,"Sacramento, California",2013,,1132750
California,"Roseville, California",2013,,50338
California,"Rocklin, California",2013,,28953
California,"Richmond, California",2013,,266237
California,"Redding, California",2013,,13269
California,"Pomona, California",2013,,1461
California,"Paso Robles, California",2013,,12338
California,"Palm Springs, California",2013,,3113
California,"Oxnard, California",2013,,79137
California,"Ontario, California",2013,,5100
California,"Oceanside, California",2013,,384786
California,"Oakland, California",2013,,405627
California,"Oakland Coliseum, California",2013,,30133
California,"Needles, California",2013,,8640
California,"Moreno Valley, California",2013,,12431
California,"Moorpark, California",2013,,15212
California,"Modesto, California",2013,,127886
California,"Metrolink Station Orange, California 92866",2013,,919
California,"Merced, California",2013,,134138
California,"Martinez, California",2013,,473836
California,"Madera, California",2013,,27474
California,"Los Angeles, California",2013,,1643706
California,"Lompoc-Surf, California",2013,,8341
California,"Lodi, California",2013,,9695
California,"Laguna Niguel, California",2013,,805
California,"Irvine, California",2013,,425041
California,"Hayward, California",2013,,35409
California,"Hanford, California",2013,,225708
California,"Guadalupe-Santa Maria, California",2013,,11719
California,"Grover Beach, California",2013,,19169
California,"Great America (Santa Clara), California",2013,,120140
California,"Goleta, California",2013,,70291
California,"Glendale, California",2013,,41936
California,"Fullerton, California",2013,,313949
California,"Fresno, California",2013,,399141
California,"Fremont, California",2013,,38471
California,"Encinitas, California",2013,,0
California,"Emeryville, California",2013,,598859
California,"Dunsmuir, California",2013,,5912
California,"Davis, California",2013,,424114
California,"Corcoran, California",2013,,31542
California,"Colfax, California",2013,,4479
California,"Chico, California",2013,,12875
California,"Chatsworth, California",2013,,56493
California,"Carpinteria, California",2013,,25496
California,"Carlsbad Village, California",2013,,0
California,"Carlsbad Poinsettia, California",2013,,0
California,"Camarillo, California",2013,,39634
California,"Burbank, California",2013,,51998
California,"Berkeley, California",2013,,153080
California,"Barstow, California",2013,,3586
California,"Bakersfield, California",2013,,546439
California,"Auburn, California",2013,,49686
California,"Antioch-Pittsburg, California",2013,,43953
California,"Anaheim, California",2013,,342284
California,"Wasco, California",2014,,42159
California,"Victorville, California",2014,,6692
California,"Ventura, California",2014,,58938
California,"Van Nuys, California",2014,,79294
California,"Turlock-Denair, California",2014,,29197
California,"Truckee, California",2014,,10509
California,"Suisun-Fairfield, California",2014,,162062
California,"Stockton (San Joaquin St.), California",2014,,292818
California,"Stockton (Downtown), California",2014,,41488
California,"Sorrento Valley, California",2014,,9746
California,"Solana Beach, California",2014,,384547
California,"Simi Valley, California",2014,,46008
California,"Santa Clara (University), California",2014,,21732
California,"Santa Barbara, California",2014,,319245
California,"Santa Ana, California",2014,,185327
California,"San Luis Obispo, California",2014,,110415
California,"San Juan Capistrano, California",2014,,226515
California,"San Jose, California",2014,,210297
California,"San Diego, California",2014,,700107
California,"San Diego-Old Town, California",2014,,196795
California,"San Clemente Pier, California",2014,,13206
California,"San Bernardino, California",2014,,12488
California,"Salinas, California",2014,,22204
California,"Sacramento, California",2014,,1022322
California,"Roseville, California",2014,,32539
California,"Rocklin, California",2014,,15414
California,"Richmond, California",2014,,241962
California,"Redding, California",2014,,13263
California,"Pomona, California",2014,,1616
California,"Paso Robles, California",2014,,12065
California,"Palm Springs, California",2014,,3068
California,"Oxnard, California",2014,,90334
California,"Ontario, California",2014,,4687
California,"Oceanside, California",2014,,412711
California,"Oakland, California",2014,,303431
California,"Oakland Coliseum, California",2014,,52260
California,"Needles, California",2014,,8386
California,"Moreno Valley, California",2014,,12105
California,"Moorpark, California",2014,,18616
California,"Modesto, California",2014,,122998
California,"Merced, California",2014,,129179
California,"Martinez, California",2014,,359755
California,"Madera, California",2014,,28993
California,"Los Angeles, California",2014,,1551090
California,"Lompoc-Surf, California",2014,,8097
California,"Lodi, California",2014,,9838
California,"Irvine, California",2014,,406451
California,"Hayward, California",2014,,35798
California,"Hanford, California",2014,,220144
California,"Guadalupe-Santa Maria, California",2014,,12162
California,"Grover Beach, California",2014,,19530
California,"Great America (Santa Clara), California",2014,,113189
California,"Goleta, California",2014,,74359
California,"Glendale, California",2014,,48631
